Organisation,KvK number,clean_name
Aage Hempel Netherlands B.V.,56101392.0,aage hempel
AAK Netherlands B.V.,35012547.0,aak
Aako B.V.,31009627.0,aako
Aalberts hfc B.V.,29010189.0,aalberts hfc
Aalberts integrated piping systems group B.V.,8052094.0,aalberts integrated piping systems
AAme Flex Solutions B.V.,27338828.0,aame flex solutions
AAme Premium Solutions B.V.,27238661.0,aame premium solutions
Aanmelder.nl B.V.,64105954.0,aanmeldernl
Aannemersbedrijf Poolster B.V.,27252390.0,aannemersbedrijf poolster
AAR Aircraft Component Services International,34036552.0,aar aircraft component services international
Aardevo B.V.,27319349.0,aardevo
Aarding Thermal Acoustics B.V.,8070459.0,aarding thermal acoustics
Aareon Nederland B.V.,4026125.0,aareon
Aarini Consulting B.V.,61189693.0,aarini consulting
Aaron Management B.V.,34258040.0,aaron management
Aatop Personeelsintermediairs B.V.,24305889.0,aatop personeelsintermediairs
AB Dent B.V.,71032258.0,ab dent
AB Engineering & Consultancy B.V.,92152600.0,ab engineering consultancy
AB Mauri Netherlands B.V.,24133172.0,ab mauri
AB Sciex Finance B.V.,34220135.0,ab sciex finance
AB Vista Europe B.V.,74202855.0,ab vista
Abacus Medicine B.V.,56400705.0,abacus medicine
Abalioglu Holding B.V.,24441621.0,abalioglu
Aban-S B.V.,62623001.0,abans
Abaque Holding B.V.,14060944.0,abaque
ABB B.V.,83315233.0,abb
ABB E-mobility B.V.,24000504.0,abb emobility
ABB Finance B.V.,33232125.0,abb finance
Abbott B.V.,33179692.0,abbott
Abbott Biologicals B.V.,32040276.0,abbott biologicals
Abbott Healthcare Products B.V.,32039508.0,abbott healthcare products
Abbott Laboratories B.V.,5018369.0,abbott laboratories
Abbott Logistics B.V.,5026851.0,abbott logistics
Abbott Medical Nederland B.V.,30142036.0,abbott medical
Abbott Vascular Netherlands B.V,34191828.0,abbott vascular
AbbVie B.V.,54914094.0,abbvie
AbbVie Central Finance B.V.,69571627.0,abbvie central finance
AbbVie Finance B.V.,59116218.0,abbvie finance
AbbVie Logistics B.V.,54910765.0,abbvie logistics
AbbVie Pharmaceuticals B.V.,5075314.0,abbvie pharmaceuticals
ABC Consultancy & Detachering B.V.,32141275.0,abc consultancy detachering
ABC Expats Services B.V.,61814393.0,abc expats services
ABC Holland B.V.,27299210.0,abc holland
ABC Holland Services B.V.,54674689.0,abc holland services
Abel & Imray LLP,84076291.0,abel imray llp
ABEL Delft B.V.,61371912.0,abel delft
Aberdeen Property Investors The Netherlands B.V.,33226980.0,aberdeen property investors
ABiLiTieS,65375319.0,abilities
Abingh B.V.,84660740.0,abingh
ABN AMRO Asset Based Finance N.V.,30099465.0,abn amro asset based finance
ABN AMRO Bank N.V.,34334259.0,abn amro bank
About Backoffice Services B.V.,30181489.0,about backoffice services
About Backoffice Services II B.V.,76228398.0,about backoffice services ii
ABQuant B.V.,86719173.0,abquant
ABS Europe Ltd.,24193191.0,abs ltd
Absolution Infra B.V.,84545488.0,absolution infra
Abstraction Games B.V.,52564401.0,abstraction games
ABT EUROPE B.V.,68692269.0,abt
ABZ Rotterdam Beheer B.V.,24323015.0,abz rotterdam beheer
AC Analytical Controls B.V.,24197331.0,ac analytical controls
Acacia Water B.V.,24428291.0,acacia water
Academisch Ziekenhuis Maastricht,14124959.0,academisch ziekenhuis maastricht
Acaia B.V.,70322201.0,acaia
Acal BFI Netherlands B.V.,17204312.0,acal bfi
Accel Club B.V.,84248750.0,accel club
A-ccelerator B.V.,54377447.0,accelerator
Accell Global B.V.,69722536.0,accell global
Accent Pointe B.V.,33298018.0,accent pointe
Accentia B.V.,71160906.0,accentia
Accenture B.V.,34156015.0,accenture
Accerio B.V.,34279408.0,accerio
Access Business Group International B.V.,12049514.0,access business international
Access Financial Services Sàrl,30198546.0,access financial services srl
Access Innovations B.V.,20107818.0,access innovations
Acciona Industrial NL B.V.,86018108.0,acciona industrial nl
Account 4 B.V.,32093604.0,account 4
Accountantskantoor Van Stee B.V.,65626826.0,accountantskantoor van stee
Accres Select B.V.,17257625.0,accres select
Accrès Tandartsenpraktijk Purmerend B.V.,37161647.0,accrs tandartsenpraktijk purmerend
Accucoms International B.V.,61824607.0,accucoms international
Accuracy Corporate Financial Advisory,16075440.0,accuracy corporate financial advisory
Acda RPA Consultancy B.V.,56518617.0,acda rpa consultancy
Ace and Tate Holding B.V.,56577710.0,ace and tate
ACE Company B.V.,64954188.0,ace company
ACE Incubator B.V.,71903488.0,ace incubator
ACE Management Consulting B.V.,84086580.0,ace management consulting
Ace Solutions B.V.,65179935.0,ace solutions
Ace Tankers C.V.,30240841.0,ace tankers cv
Acer Computer B.V.,16081669.0,acer computer
Acer Europe B.V.,16084594.0,acer
Acerta Pharma B.V.,52977501.0,acerta pharma
Acetate Europe Coöperatief U.A.,69534306.0,acetate coperatief ua
Achmea Interne Diensten N.V.,30124927.0,achmea interne diensten
Achtung B.V.,34220472.0,achtung
ACI Worldwide B.V.,29041088.0,aci worldwide
Acibadem International Medical Center B.V.,62665618.0,acibadem international medical center
Acist Europe B.V.,30159397.0,acist
ACL Airshop B.V.,34178161.0,acl airshop
ACL Technopanel B.V.,17151862.0,acl technopanel
ACMetric B.V.,74798804.0,acmetric
ACNielsen (Nederland) B.V.,33078613.0,acnielsen
ACOMO N.V.,24191858.0,acomo
Acorel Technology B.V.,63532697.0,acorel technology
ACP Technology B.V.,39072086.0,acp technology
Acquaint B.V.,61556173.0,acquaint
Acre Resources B.V.,77904109.0,acre resources
Across Health B.V.,20139878.0,across health
ACT Commodities Group B.V.,53845900.0,act commodities
ACT Financial Solutions B.V.,68344864.0,act financial solutions
ACT Fuels B.V.,67412971.0,act fuels
Act-3D B.V.,27343208.0,act3d
Acta Marine Management Services B.V.,91548071.0,acta marine management services
ACTA* Holding B.V.,53105206.0,acta
Actief Techniek B.V.,2058479.0,actief techniek
Action Service & Distributie,50969838.0,action service distributie
Active Cues B.V.,62573764.0,active cues
Active Theory B.V.,70263957.0,active theory
ActiveVideo Networks B.V.,30202881.0,activevideo networks
Activision Blizzard International B.V.,34324431.0,activision blizzard international
Actronics B.V.,8173851.0,actronics
Actu-All Chemicals B.V.,17170656.0,actuall chemicals
Actually Design B.V.,86649159.0,actually design
Actuals B.V.,80279457.0,actuals
Actuator Technology Company B.V.,28094787.0,actuator technology company
Acuiti Labs B.V.,89987004.0,acuiti labs
Acunmedya Holding B.V.,67477801.0,acunmedya
Acunmedya Netherlands TV & Production B.V.,73749079.0,acunmedya tv production
Acupunctuur Centrum Kockengen,30115542.0,acupunctuur centrum kockengen
Ad van Geloven B.V.,18012279.0,ad van geloven
Adalat Distelplein B.V.,67242103.0,adalat distelplein
ADAMA Northern Europe B.V.,33282727.0,adama northern
Adams Multilingual Recruitment B.V.,37107061.0,adams multilingual recruitment
Adams Paukenfabriek B.V.,13023690.0,adams paukenfabriek
adapa the Netherlands Amersfoort B.V.,31007030.0,adapa amersfoort
ADAPTFY B.V.,78341493.0,adaptfy
ADASTEC B.V.,86886010.0,adastec
ADATA Technology B.V.,34259092.0,adata technology
A-dato B.V.,64967492.0,adato
Adchieve B.V.,60421533.0,adchieve
AddendoValue B.V.,81422466.0,addendovalue
Addition Knowledge House B.V.,34276249.0,addition knowledge house
ADDITIVE INDUSTRIES B.V.,96070552.0,additive industries
Addverb Technologies B.V.,82068364.0,addverb technologies
Adecco Payroll B.V.,30190875.0,adecco payroll
Adecco Personeelsdiensten B.V.,16031601.0,adecco personeelsdiensten
Adecco Support B.V.,30190859.0,adecco support
Adeco Project Engineering B.V.,17107828.0,adeco project engineering
Adept Technologies B.V.,78766915.0,adept technologies
AdeptView B.V.,69366764.0,adeptview
Aderans Europe B.V.,33234902.0,aderans
AdFin Solutions B.V.,92307906.0,adfin solutions
Adform B.V.,64055302.0,adform
adidas Benelux B.V.,20034099.0,adidas benelux
adidas International B.V.,33276292.0,adidas international
adidas International Marketing B.V.,34122362.0,adidas international marketing
Aditech B.V.,34258589.0,aditech
ADM Europoort,24160592.0,adm europoort
ADM WILD Netherlands,24257652.0,adm wild
Admatec Europe B.V.,59366524.0,admatec
Admind Polska Spólka Z Ograniczona Odpowiedzialnoscia,66965624.0,admind polska splka z ograniczona odpowiedzialnoscia
Adobe Systems Benelux B.V.,33266509.0,adobe systems benelux
Adora B.V.,78514525.0,adora
Adryan B.V.,56507151.0,adryan
AdSysCo B.V.,34194247.0,adsysco
ADT Nederland B.V.,76553426.0,adt
Adtraction Nederland B.V.,74284460.0,adtraction
Advalley B.V.,34355881.0,advalley
ADValue PMC B.V.,85965553.0,advalue pmc
Advanced Chiropractic Studio B.V.,27197227.0,advanced chiropractic studio
Advanced Electromagnetics B.V.,17235479.0,advanced electromagnetics
Advanced Encryption Technology Europe B.V.,9114089.0,advanced encryption technology
Advanced Industrial Computer Europe B.V.,30194704.0,advanced industrial computer
Advantech Europe B.V.,24284472.0,advantech
Advanza B.V.,62910353.0,advanza
Advario B.V.,84312610.0,advario
Adver-Online B.V.,37081975.0,adveronline
Adversitement B.V.,17124430.0,adversitement
Adviesbureau Tielemans Bouwconstructies B.V.,17112028.0,adviesbureau tielemans bouwconstructies
Advise Technologies Netherlands B.V.,63318245.0,advise technologies
Advisie Automatisering B.V.,31033154.0,advisie automatisering
Advision Finance B.V.,58981314.0,advision finance
Advocate Benelux Field Marketing B.V.,30132353.0,advocate benelux field marketing
Adyen N.V.,34259528.0,adyen
Adyen Netherlands B.V. i.o.,98924397.0,adyen io
AEB Exploitatie B.V.,58867937.0,aeb exploitatie
AECOM Netherlands B.V.,27119183.0,aecom
Aecorsis B.V.,60596376.0,aecorsis
Aectual B.V.,58864598.0,aectual
AEG Power Solutions B.V.,27270545.0,aeg power solutions
AEGIR-Marine Employment Services B.V.,84298685.0,aegirmarine employment services
AEGIR-Marine Production B.V.,54357691.0,aegirmarine production
AEGON Employees Netherlands B.V.,89261437.0,aegon employees
AEGON N.V.,27076669.0,aegon
AEO Europe Retail Co. B.V.,86530763.0,aeo retail co
Aeon Astron Europe B.V.,27313329.0,aeon astron
Aeon Plaza Hotels Management B.V,34219929.0,aeon plaza hotels management
Aerbio B.V.,80907970.0,aerbio
AerCap Holdings N.V.,34251954.0,aercap holdings
AerData B.V.,34277357.0,aerdata
AERKOEL Service B.V.,73562734.0,aerkoel service
Aero Express B.V.,69140901.0,aero express
Aeronamic,8127192.0,aeronamic
AEROWORKS EUROPE B.V.,54067502.0,aeroworks
Aerox B.V.,31020309.0,aerox
AES Global Power Holdings B.V.,24276196.0,aes global power holdings
AES International B.V.,67811477.0,aes international
Aetina Europe B.V.,85284688.0,aetina
Aevitas Property Partners Coöperatief U.A.,55653804.0,aevitas property partners coperatief ua
AEVO Innovate B.V.,97770639.0,aevo innovate
Afa Dispensing Group B.V.,17192702.0,afa dispensing
AFC Ajax N.V.,33302453.0,afc ajax
AFCONA Additives B.V.,34374635.0,afcona additives
Affidea B.V.,27289621.0,affidea
Affinius Capital Europe B.V.,67464300.0,affinius capital
AFHCo Stores Netherlands B.V.,51420074.0,afhco stores
Aflex Ships Equipment B.V.,71114211.0,aflex ships equipment
African Asset Finance Company Holdings B.V.,71321446.0,african asset finance company holdings
African Health Systems Management Company B.V.,34266755.0,african health systems management company
African Kitchen Restaurant & Bar B.V.,54135338.0,african kitchen restaurant bar
Afrisight B.V.,71698515.0,afrisight
AFRY Netherlands B.V.,88584917.0,afry
AFS Energy B.V.,37086118.0,afs energy
AFS Interest B.V.,33226084.0,afs interest
AfterShokz Euro B.V.,74715739.0,aftershokz euro
AG Neovo Technology B.V.,24308102.0,ag neovo technology
AG5 B.V.,34233942.0,ag5
A-Gas Nederland B.V.,14079856.0,agas
AGC Chemicals Europe Commercial Centre,34259986.0,agc chemicals commercial centre
Agco B.V.,17033388.0,agco
Agendia N.V.,34185452.0,agendia
Agenor Technology B.V.,61953555.0,agenor technology
agentschap College ter Beoordeling van Geneesmiddelen,50658131.0,agentschap college ter beoordeling van geneesmiddelen
Agerion IT B.V.,24355449.0,agerion it
Agga Technologies B.V.,71083073.0,agga technologies
Agglomix B.V.,18080454.0,agglomix
Aggreko Nederland B.V.,23046086.0,aggreko
Agiboo B.V.,32157662.0,agiboo
Agidens Life Sciences B.V.,53704746.0,agidens life sciences
Agile Cockpit B.V.,62062719.0,agile cockpit
agile42 Consulting B.V.,59402342.0,agile42 consulting
Agilent Technologies Netherlands B.V.,34115690.0,agilent technologies
AgiLight B.V.,70711879.0,agilight
Agiliz B.V.,69295611.0,agiliz
Agium Financiële Detachering B.V.,27250371.0,agium financile detachering
Agnose B.V.,92256112.0,agnose
Agora Zaanstreek,34149420.0,agora zaanstreek
Agracom B.V.,65467469.0,agracom
Agri Information Partners,9133823.0,agri information partners
AGRI3 Fund Manager B.V.,72908114.0,agri3 fund manager
Agrico B.V.,32143948.0,agrico
Agrico Research,39020961.0,agrico research
Agricultural Production & Handling B.V.,1076622.0,agricultural production handling
Agrifac Machinery B.V.,1139456.0,agrifac machinery
Agrifirm Group B.V.,50003631.0,agrifirm
Agrifirm NWE B.V.,16050353.0,agrifirm nwe
AgriFood Trade B.V.,30212165.0,agrifood trade
Agrioil B.V.,24137513.0,agrioil
AgriPlace B.V.,72188561.0,agriplace
AgroCare Ontwikkeling B.V.,27274144.0,agrocare ontwikkeling
Agrovision B.V.,38018161.0,agrovision
AgroWizard B.V.,80210201.0,agrowizard
AguroTech B.V.,81016816.0,agurotech
AGV International B.V.,64215318.0,agv international
Ahold Delhaize European Business Services B.V.,61640220.0,ahold delhaize european business services
Ahold Delhaize GSO B.V.,61639699.0,ahold delhaize gso
AHS Services B.V.,71845585.0,ahs services
AHV International B.V.,59567821.0,ahv international
Aicotek B.V.,66823803.0,aicotek
Aidan Strain Electrical Engineering Limited,63825872.0,aidan strain electrical engineering limited
AIDE Energy Europe B.V.,54452872.0,aide energy
Aiden Netherlands B.V.,69505160.0,aiden
Aidence B.V.,64531694.0,aidence
AIG Europe S.A.,71305491.0,aig sa
Aigostar B.V.,60512091.0,aigostar
Aiko Energy Netherlands B.V.,89030451.0,aiko energy
AIMMS B.V.,34068128.0,aimms
AimValley B.V.,32096051.0,aimvalley
Aina Zorg,77109759.0,aina zorg
Aiqos CPM B.V.,71140123.0,aiqos cpm
Air Agencies Benelux B.V.,24355288.0,air agencies benelux
Air China Limited,28111701.0,air china limited
Air Energi Netherlands,53908775.0,air energi
Air Liquide B.V.,17063904.0,air liquide
Air Liquide Industrie B.V.,24266306.0,air liquide industrie
Air Products Nederland B.V.,29048443.0,air products
AirBeamTV B.V.,61079634.0,airbeamtv
Airblast B.V.,37046071.0,airblast
AirBliss+ B.V.,72121203.0,airbliss
Airbnb Netherlands B.V.,72077166.0,airbnb
Airborne Development B.V.,27238301.0,airborne development
Airbus Netherlands B.V.,28086907.0,airbus
Aircargo.nl B.V.,34251536.0,aircargonl
Aircraft Maintenance Netherlands B.V.,56003005.0,aircraft maintenance
Aircrete Systems B.V.,8166036.0,aircrete systems
AirHub B.V.,68463812.0,airhub
Airios,34090225.0,airios
"AirLife Netherlands Holdings, B.V.",90558014.0,airlife holdings
Airofiller Equipment Solutions B.V.,30108663.0,airofiller equipment solutions
Airpack Nederland B.V.,22030896.0,airpack
Air-Paq B.V.,72334789.0,airpaq
Airspace B.V.,78301084.0,airspace
Airtel Mobile Commerce B.V.,34375413.0,airtel mobile commerce
Airtrade Holland B.V.,33248489.0,airtrade holland
Airwallex (Netherlands) B.V.,77519256.0,airwallex
AISWEI B.V.,75780291.0,aiswei
AIT Worldwide Logistics B.V.,58386599.0,ait worldwide logistics
AJC International B.V.,73703206.0,ajc international
Ajisen Europe B.V.,27307418.0,ajisen
Akamai Technologies Netherlands B.V.,34153909.0,akamai technologies
AKD N.V.,24366820.0,akd
Akkodis Netherlands B.V.,17102525.0,akkodis
Akkodis Netherlands International B.V.,34277257.0,akkodis international
AKOS B.V.,8037027.0,akos
AKQA B.V.,34275347.0,akqa
Akros Pharma Inc. Netherlands Branch,76925439.0,akros pharma inc branch
AKSA Power Generation Europe B.V.,78194628.0,aksa power generation
Akshayapatram B.V.,83444033.0,akshayapatram
Aktief Team B.V.,56611560.0,aktief team
AKZO Nobel Car Refinishes,28080293.0,akzo nobel car refinishes
AKZO Nobel Decorative Coatings,28080295.0,akzo nobel decorative coatings
AKZO Nobel Nederland B.V.,9011382.0,akzo nobel
AL International Transport & Logistics B.V.,57661383.0,al international transport logistics
A-Label IT B.V.,30284115.0,alabel it
AlAlim Legal B.V.,27348139.0,alalim legal
Alara-Lukagro B.V.,23033397.0,alaralukagro
Albelli B.V.,69103437.0,albelli
Albert Heijn B.V.,35012085.0,albert heijn
Albert Heijn Support B.V.,34305784.0,albert heijn support
Alblasserdam Yachtbuilding B.V.,24337487.0,alblasserdam yachtbuilding
AlbumPrinter Productions B.V.,27285301.0,albumprinter productions
Alcadis B.V.,32094060.0,alcadis
Alcan Holdings Nederland B.V.,20069216.0,alcan holdings
Alcatraz Interlocks B.V.,20081525.0,alcatraz interlocks
Alcedo B.V.,8108022.0,alcedo
Alco Energy Rotterdam B.V.,66377021.0,alco energy rotterdam
Alcoa Nederland Holding B.V.,66023068.0,alcoa
Aldora Dienstverlening B.V.,65142543.0,aldora dienstverlening
Aldowa Projects B.V.,76600416.0,aldowa projects
Aleph The Netherlands Corporation B.V.,52636003.0,aleph corporation
Alewijnse Netherlands B.V.,55752713.0,alewijnse
Alexander Mann Solutions B.V.,34238256.0,alexander mann solutions
Alfa Laval Benelux B.V.,30077778.0,alfa laval benelux
Alfa Laval Nijmegen B.V.,10143387.0,alfa laval nijmegen
Alfaro Tandheelkunde B.V.,87409259.0,alfaro tandheelkunde
Alfen N.V.,64462846.0,alfen
Algeco B.V.,16063640.0,algeco
Algemeen Octrooi- en Merkenbureau B.V.,17074382.0,algemeen octrooi en merkenbureau
Algorithmic Trading Group Netherlands Management B.V.,51315521.0,algorithmic trading management
Alibaba (Netherlands) B.V.,65271505.0,alibaba
Alicat Scientific B.V.,74014358.0,alicat scientific
Alicia Insurance B.V.,75354608.0,alicia insurance
Align Matters B.V.,87542978.0,align matters
Align Netherlands B.V.,89386434.0,align
Align Technology B.V.,34207531.0,align technology
Alimentiv B.V.,58050043.0,alimentiv
Al-Khier Food B.V.,69303363.0,alkhier food
All Capital Holding B.V.,24236419.0,all capital
All Time Code Stars B.V.,76895920.0,all time code stars
All Trading B.V.,34251664.0,all trading
ALL2MD B.V.,66293634.0,all2md
All4Trade B.V.,63961350.0,all4trade
Allard Architecture B.V.,34280497.0,allard architecture
Allchiefs B.V.,71883800.0,allchiefs
Alleari B.V.,59554851.0,alleari
Allegis Contracting Services B.V.,34193804.0,allegis contracting services
Allegis Group B.V.,14109133.0,allegis
Allego Employment B.V.,71531769.0,allego employment
Allego Holding B.V.,73283754.0,allego
Alleima Benelux B.V.,24350347.0,alleima benelux
Allen Overy Shearman Sterling LLP,34368587.0,allen overy shearman sterling llp
Alliance Healthcare Management Services (Nederland) B.V.,53833295.0,alliance healthcare management services
Alliance Laundry (Netherlands) B.V.,71041389.0,alliance laundry
Alliance Tanker Management Coöperatief U.A.,60267801.0,alliance tanker management coperatief ua
Alliance Tire Europe B.V.,34145205.0,alliance tire
Alliander N.V.,34108286.0,alliander
Allianz Benelux,59395435.0,allianz benelux
"Allianz Direct Versicherungs-AG, Dutch branch",82940533.0,allianz direct versicherungsag dutch branch
Allianz Global Assistance,33094603.0,allianz global assistance
Allianz Global Corporate & Specialty SE,59935618.0,allianz global corporate specialty se
Allianz Nederland Groep N.V.,24155648.0,allianz groep
Allianz Technology SE,72029854.0,allianz technology se
All-In Facility Services B.V.,69746842.0,allin facility services
Allinq Group B.V.,8085412.0,allinq
Allinq Insite B.V.,39087077.0,allinq insite
Allison Transmission Europe B.V.,23077575.0,allison transmission
Allnex Netherlands B.V.,20025410.0,allnex
Allocacoc B.V.,50859110.0,allocacoc
Allroad Projecten B.V.,17235279.0,allroad projecten
Allseas Engineering B.V.,27233498.0,allseas engineering
Allseas Welding Services B.V.,83351574.0,allseas welding services
Allshare Finance B.V.,30096365.0,allshare finance
AllSolutions B.V.,30180615.0,allsolutions
Allucent (NL) B.V.,30225482.0,allucent nl
AllYourBI B.V.,62936808.0,allyourbi
Alma Resources B.V.,60974796.0,alma resources
Alma Trading B.V.,60156244.0,alma trading
Almatis B.V.,24253371.0,almatis
Almazara B.V.,68093861.0,almazara
Almende BV,24307997.0,almende
Alnylam Netherlands B.V.,69382115.0,alnylam
Alp Lift B.V.,30126463.0,alp lift
Alpha Assembly Solutions Netherlands B.V.,32028941.0,alpha assembly solutions
Alpha Financial Markets Consulting Netherlands B.V.,61668451.0,alpha financial markets consulting
"Alpha FX Netherlands Limited, Dutch Branch",78318858.0,alpha fx limited dutch branch
Alphacomm Solutions B.V.,24243279.0,alphacomm solutions
AlphaGrep Amsterdam B.V.,88509079.0,alphagrep amsterdam
Alphatron Marine B.V.,24182635.0,alphatron marine
Alphatron Medical Innovations B.V.,52371433.0,alphatron medical innovations
Alpine Grove (Netherlands) B.V.,62698788.0,alpine grove
Alpine Nederland B.V.,32094029.0,alpine
AlpInvest Partners B.V.,27186537.0,alpinvest partners
Alpla Nederland B.V.,30120159.0,alpla
ALSTOM Netherlands B.V.,34308168.0,alstom
Alt. Medical B.V.,2071650.0,alt medical
Alta Innovation Support B.V.,55150918.0,alta innovation support
AltaDent,72513039.0,altadent
Altcon Equipment B.V.,51736349.0,altcon equipment
Alten Nederland B.V.,24382391.0,alten
Alter Domus Nederland B.V.,34270994.0,alter domus
Altimedia B.V.,60449497.0,altimedia
Altis Marine Services B.V.,95360662.0,altis marine services
Altrad Services B.V.,33057851.0,altrad services
Altran Netherlands B.V.,34106539.0,altran
Altrex B.V.,8012289.0,altrex
Altum Consulting B.V.,66590671.0,altum consulting
Altum RF International B.V.,71400192.0,altum rf international
Altura B.V.,82677530.0,altura
Alucha Works B.V.,85844411.0,alucha works
Alumet B.V.,20026381.0,alumet
Aluminium & Chemie Rotterdam B.V.,24120312.0,aluminium chemie rotterdam
ALVA B.V.,81630190.0,alva
Alvarez & Marsal Benelux B.V.,34283629.0,alvarez marsal benelux
Alver B.V.,85539570.0,alver
AM Flex Solutions.B.V.,76707644.0,am flex solutions
AMADA WELD TECH B.V.,17040286.0,amada weld tech
Amadeus Benelux,33273584.0,amadeus benelux
Amanos Projektbureau B.V.,24280094.0,amanos projektbureau
Amaris Netherlands B.V.,57638527.0,amaris
Amarna Therapeutics B.V.,52831825.0,amarna therapeutics
Amarula Solutions B.V.,53730941.0,amarula solutions
Amazon CS Netherlands B.V.,77956311.0,amazon cs
Amazon Data Services Netherlands N.V.,61925926.0,amazon data services
Amazon Development Center (Netherlands) B.V.,56869649.0,amazon development center
"Amazon EU SARL, Dutch Branch",74430661.0,amazon eu sarl dutch branch
Amazon Online Netherlands B.V.,76926605.0,amazon online
Amazon Transport Netherlands B.V.,34227844.0,amazon transport
"Amazon Web Services EMEA SARL, Dutch Branch",68579780.0,amazon web services emea sarl dutch branch
AmbAgon Therapeutics B.V.,78067197.0,ambagon therapeutics
Ambassadors B.V.,54069475.0,ambassadors
Ambassadors Lab B.V.,52965139.0,ambassadors lab
Ambassadors Visual Effects B.V.,34271010.0,ambassadors visual effects
Amber Garden B.V.,68697864.0,amber garden
Amber Implants B.V.,65089545.0,amber implants
Amberscript B.V.,70427585.0,amberscript
Amberscript Global B.V.,81461887.0,amberscript global
Ambrell B.V.,57312281.0,ambrell
Ambroise Holland B.V.,6073110.0,ambroise holland
AMC Studios International B.V.,63881713.0,amc studios international
